listing_a,url_a,listing_b,url_b,neighborhood_id,area_sqm,bedrooms,price,actually_duplicate
banesa-48929,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-48929,banesa-77531,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77531,12,60.0,1,250.00,
banesa-86607,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-86607,banesa-77052,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77052,11,60.0,1,350.00,
banesa-91140,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-91140,banesa-78645,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78645,12,65.0,2,320.00,
banesa-91140,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-91140,banesa-79569,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79569,12,65.0,2,320.00,
banesa-78645,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78645,banesa-79569,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79569,12,65.0,2,300.00,
banesa-79566,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79566,banesa-59302,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-59302,4,65.0,1,300.00,
banesa-60000,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-60000,banesa-59598,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-59598,4,60.0,1,270.00,
banesa-79394,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79394,banesa-78570,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78570,5,50.0,1,300.00,
banesa-79393,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79393,banesa-77775,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77775,1,70.0,2,350.00,
banesa-79227,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79227,banesa-78565,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78565,12,60.0,1,300.00,
banesa-79227,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79227,banesa-77089,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77089,12,60.0,1,300.00,
banesa-79227,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79227,banesa-77511,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77511,12,60.0,1,300.00,
banesa-78565,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78565,banesa-77089,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77089,12,60.0,1,320.00,
banesa-78565,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78565,banesa-77511,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77511,12,60.0,1,320.00,
banesa-77089,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77089,banesa-77511,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77511,12,60.0,1,300.00,
banesa-79045,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79045,banesa-77062,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77062,19,100.0,3,520.00,
banesa-78596,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78596,banesa-77056,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77056,5,60.0,1,250.00,
banesa-78596,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78596,banesa-59398,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-59398,5,60.0,1,250.00,
banesa-77056,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77056,banesa-59398,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-59398,5,60.0,1,250.00,
banesa-78403,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78403,banesa-78971,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78971,7,80.0,2,370.00,
banesa-78064,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78064,banesa-78433,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78433,7,75.0,2,400.00,
banesa-78137,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78137,banesa-77082,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77082,12,80.0,2,370.00,
banesa-77049,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77049,banesa-79416,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79416,7,60.0,1,350.00,
banesa-76727,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-76727,banesa-76875,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-76875,7,60.0,1,230.00,
banesa-76728,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-76728,banesa-77841,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77841,7,45.0,1,250.00,
