review_id,source_listing_id,original_url,stratum,title,description_excerpt,price_raw,area_raw,listing_type_raw,auto_label_price,auto_label_area,auto_label_neighborhood,auto_label_type,parser_price,parser_area,parser_neighborhood,parser_type,human_price_ok,human_area_ok,human_neighborhood_ok,human_type_ok,human_notes
1,banesa-72961,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-72961,low_confidence,Banesë me qira te Lagjia e Muhaxherëve,"Lëshohet me qira banesa në Lagjen e Muhaxherëve, rruga Jashar Salihu, banesa është e re e pabanuar më parë.

E mobiluar dhe e gatshme për banim, ka sistemin e ngrohjes me rrymë.

Çmimi: 400
Renditja:
•	Sallon dhe Kuzhinë
•	2 Dhoma gjumi
•	Banjo
•	Depo
•	2 Ballkone

Kodi: 2896

Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagra",400 EUR,0,Qira,400.00,,Muhaxherëve,rent,400.00,,Muhaxherëve,rent,,,,,
2,banesa-64003,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-64003,random,Banese me qira ne lagjen Bregu i Diellit,"Banesë me qira në lagjen Bregu i Diellit te Banesat e Kuqe, eshte lagje e qete dhe ka park per femije, eshte e mobiluar ne teresi
Kati: perdhes
Sipërfaqe:70
Çmimi i qirasë:250
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merr",250 EUR,70,Qira,250.00,70.0,Bregu i Diellit,rent,250.00,70.0,Bregu i Diellit,rent,,,,,
3,banesa-65504,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-65504,random,Banesë me qira te parku i Qytetit,"Banesë me qira te Parku i Qytetit, banesa eshte e mobiluar ne teresi,
Kati:4
Çmimi i qirasë:270
Renditja:
♦Sallon me kuzhinë
♦2 Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, ose mund të na kontaktoni në këtë numër telefoni
044/393-777
WhatsApp & Viber
+383 44 393 777",270 EUR,75,Qira,270.00,75.0,parku i Qytetit,rent,270.00,75.0,parku i Qytetit,rent,,,,,
4,banesa-81021,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81021,invalid,Banesë në shitje te Mati 1,"SHITET banesa te Mati 1, rruga C; në Kompleksin e BS Group. Banesa është në gjendje të re, e gatshme për banim.
Ndodhet në katin e 4, ka fletëposeduese.
Sipërfaqe: 62.04m²
Çmimi: 1250m²
Rënditja
•	Sallon dhe Kuzhine
•	Dhomë gjumi
•	Banjo
•	Koridor
•	Ballkon

Kodi: 3552

Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/r",1 EUR,62,Shitet,125000.00,62.0,Mati 1,sale,125000.00,62.0,Mati 1,sale,,,,,
5,banesa-79595,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79595,random,Lokal me qira në Arbëri,"Lëshohet me qira lokali në Arbëri, afër komunës së re, në gjendje të rregullt dhe i përshtatshëm për punë.
Ndodhet në katin përdhesë, mund të shfrytëzohet për veprimtari të ndryshme.
Sipërfaqe: 30m²
Çmimi: 300
Rënditja
• Njësi pune
• Banjo
Kodi: 3407
Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmart/

apo",300 EUR,30,Qira,300.00,30.0,Arbëri,rent,300.00,30.0,Arbëri,rent,,,,,
6,banesa-53783,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-53783,random,Banese me qira Te Qafa,"Leshohet banese me qira te Qafa,te shkolla Meto Bajraktari,Kati 4
Banesa ka kete renditje:
- 2 dhoma gjumi
- sallon dhe kuzhine
- banjo
- ballkon
- koridor
Qmimi 350€
bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677
+383 49 124 677
044 333 511
+383 44 333 511",350 EUR,70,Qira,350.00,70.0,Qafa,rent,350.00,70.0,Qafa,rent,,,,,
7,banesa-55023,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-55023,random,Banese me qira ne lagjen Mati 1 2+1,"Banesë me qira në lagjen Mati1/Lagjja e Spitalir  ,Banesa eshte extra e  mobiluar me te gjitha elementet Rruga e Muharrem Fejza  kompleksi Blini perballe me Super Viva 1 mbrapa Kompleksit Kawa
Kati:7 lift funksional
Sipërfaqe:90 m2
Çmimi i qirasë:500 i diskutueshem.
Renditja:
♦Sallon me kuzhinë
♦2Dhomë gjumi
♦Banjo dhe wc
♦Ballkon
♦Korridor
Për më shumë informata mund të na beni like faqen tone ne",500 EUR,0,Qira,500.00,90.0,Mati 1,rent,500.00,90.0,Mati 1,rent,,,,,
8,banesa-78912,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78912,random,Banesë me qira te Lagjia e Muhaxherëve,"Gasoniere me qira te Sllovenia Sport, rruga Halil Alidemaj, shumë afër Qendres. Është e mobiluar dhe është e përshtatshme për banim.
Banesa ndodhet në katin e 1. Sistemin e ngrohjes e ka me Termokos.
Çmimi: 180 plus depozita
Rënditja
•	Sallon
•	Kuzhinë
•	Banjo
•	Koridor
•	Ballkon nuk ka

Kodi: 3258

Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4c",180 EUR,1,Qira,180.00,,Muhaxherëve,rent,180.00,,Muhaxherëve,rent,,,,,
9,banesa-77052,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77052,high_confidence,Banese me qira ne Emshir,"Leshohet banese me qira ne lagjen Emshir, përballë Tregu Group (banesat e Lesna-s), 60 m2, gjendet në katin e 6-të dhe ka lift funksional.
Banesa ka kete renditje:
- Sallon
- Kuzhine
- Dhome gjumi
- Banjo
- Ballkon
- Koridor
Cmimi: 350 euro

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677 WhatsApp dhe Viber +383 49 124 677
044 333 511 WhatsApp dhe Viber +383 44 3",350 EUR,60,Qira,350.00,60.0,Emshir,rent,350.00,60.0,Emshir,rent,,,,,
10,banesa-52477,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-52477,random,Banese me qira ne lagjen Mati 1,"Leshohet banese me qira ne rrugen Shaqir Iglishta nr.59 MAT1.
Banesa ndodhet ne katin e 3-te, posedon lift.
Banesa ka 60m2

Banesa ka kete renditje:
- dhom gjumi
- sallon dhe kuzhine
- banjo

Qmimi 240€
bit.ly/3n3a6PU


Per me shume informata mund te na kontaktoni ne numrin
044 333 511
+383 44 333 511
",240 EUR,60,Qira,240.00,60.0,Mati 1,rent,240.00,60.0,Mati 1,rent,,,,,
