stratum,source_listing_id,title,description,price_raw,area_raw,parsed_price,parsed_area,parsed_neighborhood,parsed_type,correct_price,correct_area,correct_neighborhood,correct_type,correct_building,verified_by,notes
random,banesa-55486,Banese me qira ne lagjen Rruga B 2+1,"Banesë me qira në lagjen rruga B,ne rrugen Brahim Ademi mbrapa Viva Freshit,te banesat e Standardit.Banesa eshte e mobiluar ne teresi.Leshohet per 12 muaj kontrat.Lift funksional.
Kati:
Sipërfaqe:90 m2
Çmimi i qirasë:350 plus depoziti
Renditja:
♦Sallon me kuzhinë
♦2Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
,  ose mund të na kontaktoni në këtë numër telefoni
044 393 777
WhatsApp & Viber
+38344 393 77",350 EUR,90,350.00,90.0,,rent,,,,,,,
random,banesa-54877,Shtepi ne shitje ne lagjen Hajvalia,"
Shtepia ne shitje në lagjen Hajvalia dhe eshte ne gjendje perfekte.
Shtepia eshte me Flete Poseduese dhe perkthimi eshte i menjehershem.
Shitet e kompletuar me te gjitha mobiliet si ne foto
Shtepia se bashku me obor ka siperfaqe prej 5.20 ari.
Shtepia ka 220 metra katror te shfrytezueshme,- Parking garazh per 2 vetura bodrum per nxemjen me kalldaj dhe shfrytezim kuzhine per stinen e veres.
Kati:1
Sipërfaqe: 220  m2
Çmimi I shitjes:130.000 euro
Renditja:
♦Sallon me kuzhinë
♦2Dhomë gjumi
♦1Banjo
","130,000 EUR",220,130000.00,220.0,,sale,,,,,,,
random,banesa-31317,Super banese me qira ne lagjen e spitalit,"Leshohet banese me qira ne lagjen e spitalit afer restaurant "" Loriano. Gjendet ne katin e 5-te, me lift funksional, eshte komplet e mobiluar dhe moderne.

Siperfaqe: 115m2
Renditja:
Sallon me kuzhine * 3 dhoma gjumi * banjo * Wc * Ballkon * korridor
Çmimi: 390 €

Per me shume informata rreth kesaj banese mund te na shkruani linkun me id ose nje screenshot te shpalljes, apo nje kerkese tuajen per banesa tjera, ne kete numer telefoni:
045 190 019
WhatsApp & Viber
+383 45 190 019",390 EUR,115,390.00,115.0,Spitali,rent,,,,,,,
random,banesa-13155,Banese me qira ne Lagje te Muhaxhereve 2+1,"Leshoj banese me qira ne lagje te Muhaxhereve, banesa eshte e mobiluar ne teresi, 70m2
Banesa posedon:
- dy dhoma gjumi
- sallon dhe kuzhine
- banjo
- ballkon
- koridor
Qmimi 200 euro

Per me shume informata rreth kesaj banese dhe ofertave te tjera ju lutem na kontaktoni ne numrin
WhatsApp & Viber:
045 19 00 19",200 EUR,70,200.00,70.0,Muhaxhere,rent,,,,,,,
random,banesa-52660,Banese me qira te Rruga B,"

Leshohet gasonjerka me qira te Rruga B.
Banesa ka 35m2.


Çmimi 180 €.
bit.ly/3n3a6PU


Per me shume informata mund te na kontaktoni ne numrin
044 333 511
+383 44 333 511",180 EUR,35,180.00,35.0,Dardania,rent,,,,,,,
random,banesa-82014,Banesë me qira te rruga C,"Lëshohet me qira banesa te rruga C, rr.Shaqir Igrishta. Banesa është e re, e paperdorur dhe e gatshme për banim.
Mund të shfrytëzohet edhe për zyre. Ndodhet në katin e parë. Banesa ka hapësirë të mjatueshme parkimi.
Sipërfaqe:66m²
Çmimi: 400
Rënditja:
• Sallon dhe Kuzhinë
• 1 Dhomë gjumi
• Banjo
• Ballkon
• Koridor
Kodi: 3662
Për më shumë informata mund të na beni like faqen tone ne facebook
Smart Real Estate,
bit.ly/2htS4cY
, si dhe
www.instagram.com/realestatesmart/

apo per me shume oferta ap",400 EUR,66,400.00,66.0,Lakrishte,rent,,,,,,,
random,banesa-59643,Banese me qira ne lagjen Arberia,"Banesë me qira në lagjen Arberia, banesa eshte e mobiluar ne teresi moderne
Sipërfaqe:58
Çmimi i qirasë:290
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

ose mund të na kontaktoni në këtë numër telefoni
044 393 777
WhatsApp & Viber
+38344 393 777
",290 EUR,58,290.00,58.0,Arbëria,rent,,,,,,,
random,banesa-61067,Banese me qira ne lagjen e Spitalit,"Leshohet banese me qira ne Lagje te spitalit ,Kati 1 afer shkolles pavarsia
Te Superviva 2
Banesa ka kete renditje:
- 2 dhoma gjumi
- Sallon
- Kuzhine
- Banjo
- Vc
- Ballkon
- Koridor
- Garazh
Qmimi 400€

bit.ly/3n3a6PU

Per me shume informata mund te na kontaktoni ne numrin
049 124 677
+383 49 124 677
044 333 511
+383 44 333 511",400 EUR,85,400.00,85.0,Spitali,rent,,,,,,,
random,banesa-47346,Banese me qira ne lagjen Bregu i Diellit,"Leshohet banese me qira ne Breg te Diellit,te Furra Qerimi 2,kati 6 pa lift
Banesa ka kete renditje:
- 2 dhoma gjumi
- sallon dhe kuzhine
- banjo
- ballkon
- koridor
Qmimi 180€
bit.ly/3n3a6PU


Per me shume informata mund te na kontaktoni ne numrin
044 333 511
+383 44 333 511





",180 EUR,75,180.00,75.0,Bregu i Diellit,rent,,,,,,,
random,banesa-63306,Banese me qira ne lagjen Ulpiana,"Banesë me qira në lagjen Ulpiana, banesa eshte e mobiluar ne teresi
Çmimi i qirasë:250
Renditja:
♦Sallon me kuzhinë
♦Dhomë gjumi
♦Banjo
♦Ballkon
♦Korridor

Për më shumë informata mund të na beni like faqen tone ne facebook Smart Real Estate,
bit.ly/2htS4cY
, apo per me shume oferta apo banesa te lira:
www.merrmeqira.com/user/profile/smart

ose mund të na kontaktoni në këtë numër telefoni
044 393 777
WhatsApp & Viber
+38344 393 777
",250 EUR,60,250.00,60.0,Ulpiana,rent,,,,,,,
