source_listing_id,original_url,listing_type,price,area_sqm,price_per_sqm,neighborhood,confidence_score,parser_version,looks_correct,notes
banesa-79997,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79997,sale,1.00,,,,0.2,1.2.0,,
banesa-81017,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81017,sale,1.00,,,,0.2,1.2.0,,
banesa-79997,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79997,sale,1.00,,,,0.2,1.2.0,,
banesa-77497,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77497,rent,1.00,,,,0.2,1.2.0,,
banesa-77497,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77497,rent,1.00,,,,0.2,1.2.0,,
banesa-77497,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77497,rent,1.00,,,,0.2,1.2.0,,
banesa-81017,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81017,sale,1.00,,,,0.2,1.2.0,,
banesa-81017,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81017,sale,1.00,,,,0.2,1.2.0,,
banesa-79997,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79997,sale,1.00,,,,0.2,1.2.0,,
banesa-53668,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-53668,sale,950.00,83.0,11.45,,0.26,1.2.0,,
banesa-91756,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-91756,sale,65.50,75.0,0.87,,0.26,1.2.0,,
banesa-80418,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-80418,sale,160.00,93.0,1.72,,0.26,1.2.0,,
banesa-61066,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-61066,sale,105.00,50.0,2.10,,0.26,1.2.0,,
banesa-54877,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-54877,sale,130.00,220.0,0.59,,0.26,1.2.0,,
banesa-91737,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-91737,sale,115.00,64.0,1.80,,0.26,1.2.0,,
banesa-53673,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-53673,sale,65.00,54.0,1.20,,0.26,1.2.0,,
banesa-81720,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81720,sale,110.00,87.0,1.26,,0.26,1.2.0,,
banesa-30274,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-30274,sale,1.75,57.0,0.03,,0.26,1.2.0,,
banesa-77459,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77459,sale,1.25,87.1,0.01,,0.26,1.2.0,,
banesa-55448,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-55448,rent,1.00,170.0,0.01,,0.26,1.2.0,,
banesa-82132,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-82132,sale,1.00,71.0,0.01,,0.26,1.2.0,,
banesa-81721,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81721,sale,1.15,90.0,0.01,,0.26,1.2.0,,
banesa-81024,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81024,sale,92.00,76.0,1.21,,0.26,1.2.0,,
banesa-91773,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-91773,sale,112.00,61.0,1.84,,0.26,1.2.0,,
banesa-58787,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-58787,rent,20.00,18.0,1.11,,0.26,1.2.0,,
banesa-91757,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-91757,sale,36.00,36.0,1.00,,0.26,1.2.0,,
banesa-68211,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-68211,sale,90.00,107.0,0.84,,0.26,1.2.0,,
banesa-53668,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-53668,sale,950.00,83.0,11.45,,0.26,1.2.0,,
banesa-8653,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-8653,sale,45.00,55.0,0.82,,0.26,1.2.0,,
banesa-54877,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-54877,sale,130.00,220.0,0.59,,0.26,1.2.0,,
banesa-81390,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81390,sale,1.00,80.0,0.01,,0.26,1.2.0,,
banesa-77124,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77124,sale,1.10,85.0,0.01,,0.26,1.2.0,,
banesa-58382,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-58382,sale,1.20,108.0,0.01,,0.26,1.2.0,,
banesa-59878,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-59878,sale,93.00,88.0,1.06,,0.26,1.2.0,,
banesa-91776,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-91776,rent,1.00,122.0,0.01,,0.26,1.2.0,,
banesa-31281,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-31281,sale,41.00,57.0,0.72,,0.26,1.2.0,,
banesa-91778,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-91778,sale,222.00,120.0,1.85,,0.26,1.2.0,,
banesa-44191,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-44191,sale,165.00,61.0,2.70,,0.26,1.2.0,,
banesa-81027,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81027,sale,1.00,62.0,0.02,,0.26,1.2.0,,
banesa-51221,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-51221,rent,1.20,109.0,0.01,,0.26,1.2.0,,
banesa-81841,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81841,sale,168.00,92.0,1.83,,0.26,1.2.0,,
banesa-81836,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-81836,sale,1.00,89.0,0.01,,0.26,1.2.0,,
banesa-79199,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79199,sale,1.00,88.0,0.01,,0.26,1.2.0,,
banesa-59878,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-59878,sale,93.00,88.0,1.06,,0.26,1.2.0,,
banesa-42597,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-42597,sale,850.00,101.0,8.42,,0.26,1.2.0,,
banesa-77474,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77474,sale,1.20,1200.0,,,0.26,1.2.0,,
banesa-58382,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-58382,sale,1.20,108.0,0.01,,0.26,1.2.0,,
banesa-91778,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-91778,sale,222.00,120.0,1.85,,0.26,1.2.0,,
banesa-91776,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-91776,rent,1.00,122.0,0.01,,0.26,1.2.0,,
banesa-32966,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-32966,sale,1.40,135.0,0.01,,0.26,1.2.0,,
banesa-32737,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-32737,sale,150.00,150.0,1.00,,0.26,1.2.0,,
banesa-91763,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-91763,rent,40.00,74.0,0.54,,0.26,1.2.0,,
banesa-52356,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-52356,rent,28.00,60.0,0.47,,0.26,1.2.0,,
banesa-40060,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-40060,sale,82.00,95.0,0.86,,0.26,1.2.0,,
banesa-31281,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-31281,sale,41.00,57.0,0.72,,0.26,1.2.0,,
banesa-51221,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-51221,rent,1.20,109.0,0.01,,0.26,1.2.0,,
banesa-68182,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-68182,sale,950.00,65.0,14.62,,0.26,1.2.0,,
banesa-59837,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-59837,sale,980.00,98.0,10.00,,0.26,1.2.0,,
banesa-53673,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-53673,sale,65.00,54.0,1.20,,0.26,1.2.0,,
banesa-13159,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-13159,rent,4.00,900.0,,,0.26,1.2.0,,
banesa-61372,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-61372,sale,125.00,62.0,2.02,,0.26,1.2.0,,
banesa-34131,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-34131,sale,125.00,85.0,1.47,,0.26,1.2.0,,
banesa-79087,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-79087,sale,105.00,150.0,0.70,,0.26,1.2.0,,
banesa-50197,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-50197,sale,80.00,70.0,1.14,,0.26,1.2.0,,
banesa-77459,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-77459,sale,1.25,87.1,0.01,,0.26,1.2.0,,
banesa-58381,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-58381,sale,1.30,109.0,0.01,,0.26,1.2.0,,
banesa-78128,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-78128,sale,1.00,60.0,0.02,,0.26,1.2.0,,
banesa-51959,https://listime.gjirafa.com/Shpallje/Patundshmeri/banesa-51959,sale,850.00,106.0,8.02,,0.26,1.2.0,,
